date,amount,category,description
2024-07-01,1000,Income,Salary
2024-07-02,50,Expense,Groceries
2024-07-03,150,Expense,Utilities
2024-07-04,200,Income,Freelance Work
2024-07-05,75,Expense,Restaurant
2024-07-06,100,Expense,Transport
2024-07-07,500,Income,Bonus
2024-07-08,30,Expense,Snacks
2024-07-09,250,Income,Stock Dividends
2024-07-10,90,Expense,Entertainment
2024-07-11,60,Expense,Coffee
2024-07-12,120,Expense,Gas
2024-07-13,80,Expense,Books
2024-07-14,150,Expense,Clothing
2024-07-15,1100,Income,Salary
2024-07-16,40,Expense,Stationery
2024-07-17,180,Expense,Utilities
2024-07-18,250,Income,Freelance Work
2024-07-19,70,Expense,Restaurant
2024-07-20,130,Expense,Transport
2024-07-21,600,Income,Bonus
2024-07-22,35,Expense,Snacks
2024-07-23,300,Income,Stock Dividends
2024-07-24,100,Expense,Entertainment
2024-07-25,55,Expense,Coffee
2024-07-26,140,Expense,Gas
2024-07-27,90,Expense,Books
2024-07-28,170,Expense,Clothing
2024-07-29,1200,Income,Salary
2024-07-30,45,Expense,Stationery
2024-07-31,190,Expense,Utilities
2023-07-20,124,Expense,Groceries
2024-08-01,246,Expense,Clothing
2024-08-02,1159,Income,Stock Dividends
2024-08-03,122,Expense,Utilities
2024-08-04,376,Income,Stock Dividends
2024-08-05,1124,Income,Stock Dividends
2024-08-06,330,Income,Freelance Work
2024-08-07,65,Expense,Entertainment
2024-08-08,804,Income,Bonus
2024-08-09,36,Income,Freelance Work
2024-08-10,1053,Income,Bonus
2024-08-11,1258,Income,Freelance Work
2024-08-12,1444,Income,Bonus
2024-08-13,234,Expense,Transport
2024-08-14,42,Expense,Utilities
2024-08-15,55,Expense,Restaurant
2024-08-16,243,Expense,Clothing
2024-08-17,814,Income,Bonus
2024-08-18,15,Expense,Snacks
2024-08-19,108,Income,Salary
2024-08-20,1086,Income,Salary
2024-08-21,96,Expense,Coffee
2024-08-22,341,Income,Salary
2024-08-23,33,Expense,Clothing
2024-08-24,511,Income,Salary
2024-08-25,713,Income,Bonus
2024-08-26,1260,Income,Freelance Work
2024-08-27,1223,Income,Stock Dividends
2024-08-28,1179,Income,Salary
2024-08-29,1352,Income,Freelance Work
2024-08-30,205,Expense,Coffee
2024-08-31,571,Income,Freelance Work
2024-09-01,1268,Income,Freelance Work
2024-09-02,20,Expense,Stationery
2024-09-03,762,Income,Stock Dividends
2024-09-04,1113,Income,Stock Dividends
2024-09-05,53,Expense,Utilities
2024-09-06,726,Income,Bonus
2024-09-07,177,Income,Bonus
2024-09-08,279,Expense,Stationery
2024-09-09,1443,Income,Freelance Work
2024-09-10,269,Expense,Coffee
2024-09-11,168,Expense,Entertainment
2024-09-12,127,Expense,Clothing
2024-09-13,491,Income,Stock Dividends
2024-09-14,197,Expense,Utilities
2024-09-15,206,Expense,Gas
2024-09-16,1279,Income,Salary
2024-09-17,152,Income,Stock Dividends
2024-09-18,82,Expense,Transport
2024-09-19,36,Expense,Snacks
2024-09-20,137,Expense,Gas
2024-09-21,85,Expense,Utilities
2024-09-22,177,Expense,Entertainment
2024-09-23,20,Expense,Groceries
2024-09-24,227,Expense,Groceries
2024-09-25,270,Expense,Coffee
2024-09-26,212,Expense,Transport
2024-09-27,239,Income,Freelance Work
2024-09-28,392,Income,Stock Dividends
2024-09-29,205,Expense,Utilities
2024-09-30,67,Expense,Transport
2024-10-01,893,Income,Stock Dividends
2024-10-02,467,Income,Bonus
2024-10-03,102,Expense,Clothing
2024-10-04,1203,Income,Salary
2024-10-05,1098,Income,Stock Dividends
2024-10-06,184,Expense,Stationery
2024-10-07,862,Income,Bonus
2024-10-08,67,Income,Stock Dividends
2024-10-09,1388,Income,Bonus
2024-10-10,806,Income,Bonus
2024-10-11,107,Expense,Groceries
2024-10-12,558,Income,Bonus
2024-10-13,32,Income,Bonus
2024-10-14,649,Income,Freelance Work
2024-10-15,675,Income,Bonus
2024-10-16,1113,Income,Salary
2024-10-17,250,Expense,Gas
2024-10-18,54,Expense,Clothing
2024-10-19,1426,Income,Freelance Work
2024-10-20,247,Income,Bonus
2024-10-21,228,Expense,Clothing
2024-10-22,712,Income,Freelance Work
2024-10-23,173,Income,Stock Dividends
2024-10-24,1128,Income,Salary
2024-10-25,1245,Income,Bonus
2024-10-26,295,Expense,Transport
2024-10-27,617,Income,Bonus
2024-10-28,251,Expense,Coffee
2024-10-29,187,Expense,Clothing
2024-10-30,1461,Income,Stock Dividends
2024-10-31,71,Expense,Coffee
2024-11-01,21,Expense,Snacks
2024-11-02,92,Expense,Restaurant
2024-11-03,498,Income,Bonus
2024-11-04,19,Expense,Clothing
2024-11-05,31,Expense,Groceries
2024-11-06,1309,Income,Stock Dividends
2024-11-07,253,Expense,Entertainment
2024-11-08,419,Income,Stock Dividends
2025-06-07,100.0,Income,get a loan pay
2025-06-07,200.0,Expense,I paid for a library card.
2025-06-07,200.0,Income,I found a 200 euros on the street.
2025-06-07,200.0,Income,I found a 200 euros on the street.
2025-06-07,300.0,Expense,I order a car and paid deposit.
2025-06-07,300.0,Expense,I order a car and paid deposit.
2025-07-27,200.0,Expense,a new trasmitter
2025-07-27,200.0,Expense,a new trasmitter
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-07-27,222.0,Income,a new sale
2025-08-02,100.0,Expense,i bought a paint for the car
2025-08-02,100.0,Expense,i bought a paint for the car
2025-08-02,100.0,Expense,i bought a paint for the car
2025-08-02,100.0,Expense,i bought a paint for the car
2025-08-02,100.0,Expense,i bought a paint for the car
2025-08-02,100.0,Income,receives a payment
2025-08-02,100.0,Income,receives a payment
2025-08-01,22.0,Expense,bought ice cream
2025-08-21,33.0,Income,sell my hat
2025-08-02,221.0,Expense,i gave a loan to my neighbor
2025-08-09,200.0,Income,"return a receivers, save 200lv."
2025-08-09,122.0,Expense,324324rerewrwr
2025-08-09,223.0,Income,3123123
2025-08-05,225.0,Income,new payment
2025-08-09,11.0,Expense,eefe
2025-08-09,34.0,Expense,qwewfds
2025-08-09,233.0,Income,323223
2025-08-09,32.0,Income,244423
2025-08-30,323.0,Expense,2332
2025-08-29,232.0,Expense,3123
2025-08-13,121.0,Expense,12312
2025-08-09,323.0,Expense,3444
2025-08-20,120.0,Income,a new deal
2025-08-20,12.0,Expense,a new brush
